Location name,Amount spent (DKK)
Capital Region of Denmark,36594
Central Denmark Region,16956
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,7396
Region of Southern Denmark,15637
Unknown,≤100
Zealand Region,12020
