Location name,Amount spent (PLN)
Greater Poland Voivodeship,3108
Kuyavian-Pomeranian Voivodeship,1641
Lesser Poland Voivodeship,2617
Lower Silesian Voivodeship,2232
Lublin Voivodeship,1295
Lubusz Voivodeship,689
Masovian Voivodeship,5717
Opole Voivodeship,610
Podkarpackie Voivodeship,1234
Podlaskie Voivodeship,782
Pomeranian Voivodeship,1857
Silesian Voivodeship,3290
Unknown,≤100
Warmian-Masurian Voivodeship,978
West Pomeranian Voivodeship,1574
Łódź Voivodeship,1914
Świętokrzyskie Voivodeship,701
