Location name,Amount spent (EUR)
Alsace,424
Aquitaine,849
Auvergne,239
Basse-Normandie,275
Bourgogne,347
Bretagne,701
Centre,487
Champagne-Ardenne,287
Corse,≤100
Franche-Comté,210
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,393
Languedoc-Roussillon,750
Limousin,139
Lorraine,441
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,685
New Caledonia,≤100
Nord-Pas-de-Calais,976
Pays de la Loire,747
Picardie,423
Poitou-Charentes,383
Provence-Alpes-Côte d'Azur,1451
Reunion Island,≤100
Rhône-Alpes,1385
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,2787
