Location name,Amount spent (USD)
Al Anbar Governorate,106
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,637
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,102
Dohuk Governorate,162
Erbil Governorate,351
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,110
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,177
Saladin Governorate,≤100
Sulaymaniyah Governorate,247
Unknown,≤100
Wasit Governorate,≤100
