Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
120370174702378,Magyarország Kormánya,Magyarország Kormánya,396520,1
224274995688487,Bohár Dániel - Riporter,Megafon,315851,4
294998357524107,Deák Dániel,Megafon,158099,2
543788999005363,ORIGO,Mediaworks Hungary Zrt.,150125,15
191461774219575,hirado.hu,hirado.hu,93461,31
109637397268775,Nyugati Pályán,Splendidea Communications Kft,57549,8
594088897289853,Alapjogokért Központ,Alapjogokért Központ,49832,19
178362315106,European Parliament,European Parliament,49213,6
248172631940,Mandiner,Mediaworks Hungary Zrt.,39360,7
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,37130,18
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,35161,4
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,34655,6
134446106628218,Dehir.hu,Dehir.hu,33055,2
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,28844,5
515151271987494,Debrecen városa,Debrecen Megyei Jogú Város Önkormányzata,23876,2
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,22397,5
1493071807593698,Papp László,Papp László,21711,1
851784814892644,Simicskó István,KDNP frakció,21284,2
109414841321682,Magyar Falu Program,Magyar Falu Program,21104,2
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,18559,2
193944440638410,Karácsony Gergely,Budapest Főváros Önkormányzat,17920,2
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,16218,49
100905288315705,Jelen hetilap,Liberty Press Kft.,15572,13
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,15203,3
131283758531,HVG,HVG Kiadó ZRt.,14987,10
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,14953,7
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,14696,3
108346693873484,Győrffy Balázs,Balazs Gyorffy,13465,2
1869511526651884,Zsigmond Barna Pál,Fidesz,13405,7
713504822019923,Fidesz Székesfehérvár,Fidesz,12617,2
76748198685,Budapest Pride,Budapest Pride,11681,5
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,11669,3
376436808069,Eventim - Ticket Express Hungary,TEX Hungary Kft.,11612,1
237088069704442,Kósa Ádám,"Adam Kosa, Member of the European Parliament",11549,1
1534911313439123,Ripost,Ripost,11165,2
221761091331222,Danube Institute,Danube Institute,11127,13
132593883577930,Dr. Keresztes László Lóránt,LMP - Magyarország Zöld Pártja,10856,1
1215492498464496,Angyal Károly,Angyal Károly Tibor,10447,5
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,9914,4
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,9433,31
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,9380,7
184922004946258,Horváth Csaba,Budapest Főváros XIV. Kerület Zugló Önkormányzata,9084,6
320986996098,zaol.hu,Mediaworks Hungary Zrt.,9074,2
103922897650335,Bakos Bernadett,LMP - Magyarország Zöld Pártja,8808,5
129255963785124,Heol.hu,Heol.hu,8804,2
135049793193159,IH Rendezvényközpont,Green Team Event & Marketing Kft.,8759,5
102426795954406,Nobilis Márton,Nobilis Márton,7904,8
1237616006358749,Kékes Online,Kékes Online,7807,13
100299381703981,Ps TV,PestiSrácok.hu,7620,2
506244332746545,TEOL.hu,TEOL.hu,7363,2
107760432613264,Sonline.hu - Somogy közösségi és hírportálja,Sonline.hu - Somogy közösségi és hírportálja,7226,2
160935777365,bama.hu - a baranyai hírportál,bama.hu - a baranya megyei hírportál,7032,2
125953004085398,Kemma.hu,Kemma.hu,6996,2
276554411147,Szabolcs Online,Mediaworks Hungary Zrt.,6919,1
1627127484170228,NHC24,Mediaworks Hungary Zrt.,6892,2
203158929827,Beol.hu Békés vármegyei online,Mediaworks Hungary Zrt.,6671,2
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,6627,3
296310837699,vaol.hu,Mediaworks Hungary Zrt.,6550,2
451084968283411,Klímainnovációs Közösség,PANNON Pro Innovációs Kft.,6545,1
1944720419101498,Dr. Lévai István Zoltán,Dr. Lévai István Zoltán,6477,1
258636010813346,Delmagyar.hu,Mediaworks Hungary Zrt.,6411,2
308871671705,BAON Bács-Kiskun vármegyei Online,Mediaworks Hungary Zrt.,6383,2
233529653487142,Karsay Ferenc,Karsay Ferenc,6329,5
170187966339475,Life.hu,Mediaworks Hungary Zrt.,6293,2
147633001941737,kisalfold.hu,kisalfold.hu,6253,2
107123677458699,Külpologika,Tamás Novák,6224,3
1920158678081160,Nemzetpolitikai Államtitkárság,Nemzetpolitikai Államtitkárság,6128,1
105097844200628,EzaLényeg.hu - Pestlőrinc,EzaLényeg.hu,6073,8
537817739693723,Brain Bar,Brain Bar,5793,2
126539424061030,Háttér Társaság,Háttér Társaság,5777,13
202099276507678,24.hu,24.hu,5751,1
108248022589754,Bosch Magyarország,Bosch Magyarország,5746,4
264210363649459,Élő Norbert,Élő Norbert,5619,2
122922027734811,feol.hu,Mediaworks Hungary Zrt.,5496,2
