Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
168286823190319,Cámara de Industrias de Costa Rica,Cámara de Industrias de Costa Rica,19784,1
265843867173714,La Revista,La Revista,9922,4
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,5995,2
102084562479533,Digital506,Digital506,2876,3
105299712285609,Otra Visión,Otra Visión,2122,1
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,1199,1
1564830553770208,Encuentro Municipal,José Luis Jimenez Robleto,697,1
450806748585319,María Marta Carballo Diputada,Gabriela De Los Angeles Marin Quijano,602,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
954298964703081,Abbott FreeStyle,These ads ran without a disclaimer,≤100,1
260505207474088,Libélula Cambio Climático,These ads ran without a disclaimer,≤100,3
903379026492506,Articulación de Movimientos Sociales y OSC Nicaragua,These ads ran without a disclaimer,≤100,1
188140874572413,Charles Darwin Foundation,These ads ran without a disclaimer,≤100,1
106750994048802,Perspectiva,These ads ran without a disclaimer,≤100,1
108584201404731,La Civiltà Cattolica - Edición en español,These ads ran without a disclaimer,≤100,1
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100,1
104013541845788,Xinchen-Gerald Xu,These ads ran without a disclaimer,≤100,1
