Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
101875098313543,Andel,Andel,31610,18
65929129383,Røde Kors,Røde Kors,10968,102
59143726810,Psykiatrifonden,Psykiatrifonden,9010,10
12860228293,Politiken,Politiken,7704,64
26458152911,SOS Børnebyerne,SOS Børnebyerne,6117,32
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,5255,9
399210657232918,PlanBørnefonden,PlanBørnefonden,4481,29
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,4271,17
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,3823,23
116269191760882,DSB,DSB,3307,6
72672361910,Børns Vilkår,Børns Vilkår,3135,12
108041771950114,Danmarksdemokraterne,Danmarksdemokraterne,3021,8
99632942471,Læger uden Grænser (MSF),Læger uden Grænser (MSF),2919,10
12787473132,Berlingske,Berlingske,2438,23
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,2253,11
110321008383861,Red Barnets landsindsamling,Red Barnet,2125,133
671022293105597,Alex Vanopslagh,Alex Vanopslagh,2099,19
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,1898,15
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,1889,70
55365680705,Greenpeace Danmark,Greenpeace Danmark,1678,30
144965885963,Oxfam Danmark,Oxfam Danmark,1609,9
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,1549,7
867877683280051,Weekendavisen,Weekendavisen,1346,17
250994288337708,Sex og Samfund,Sex og Samfund,1317,4
459641371068935,Forenet Kredit,Forenet Kredit,1258,2
41459763029,Socialdemokratiet,Socialdemokratiet,1187,12
359674067377201,BUPL,BUPL,1171,7
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,1043,21
304554445813,Videncentret Bolius,Videncentret Bolius,1020,12
133707013355759,Danner,Danner,1004,1
302430309859808,Batavia Media,Batavia Media,983,4
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,860,5
104414898912918,GOTO Sønderborg,GOTO Sønderborg,852,2
102154048301476,Lederstof.dk,Lederne,843,22
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,762,1
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,747,13
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,743,5
126543540781090,Ældre Sagen,Ældre Sagen,706,36
304554445813,Videncentret Bolius,Bolius,681,3
748887235210811,Obton Forvaltning A/S,Obton A/S,643,7
142831282424266,Åbent Landbrug,Landbrug & Fødevarer,632,10
154415494575789,IDA,IDA,588,4
442403485851495,Morten Helveg Petersen,Morten Helveg Petersen,580,3
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",558,7
20303574131,Nationalmuseet,Nationalmuseet,508,35
246977185497434,Plastic Change,Plastic Change,497,15
167891603415958,Lederne,Lederne,494,6
1405355586351630,Carlsbergfondet,Carlsbergfondet,485,3
146458868730806,ROSE - Dansk kylling siden 1952,HKScan Denmark A/S,472,11
105511328705392,HØRT,Børns Vilkår,467,5
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,458,2
287306323369,Børnecancerfonden,Børnecancerfonden,435,2
369336273158091,Land of Hope,Land of Hope,422,16
130388840342741,Danske Bank,Danske Bank,412,5
529124290474705,Nikolaj Villumsen,Enhedslisten,396,1
657491824390744,Spring Copenhagen,Spring Copenhagen,389,20
203700576325922,Koda,Koda,377,1
1704424023182897,Politiken Historie,Politiken Historie,331,15
880444655649267,Rasmus Steenberger,Rasmus Steenberger,322,4
852608988134698,Tikko,Tikko,284,10
107898832590939,European Commission,European Commission,280,2
437410226312057,Københavns Kommune,Københavns Kommune,278,3
239624940212,HK Kommunal,HK Kommunal,278,2
36664432940,Amnesty International Danmark,Amnesty International Danmark,271,9
153708144675646,PFA,PFA,257,2
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,224,2
181330585392156,Skattestyrelsen,Skattestyrelsen,221,1
356520931077196,Europabevægelsen,Europabevægelsen,216,5
182121298931589,Odense Kommune,Odense Kommune,213,1
1684646181850363,TjekDet,TjekDet,211,1
372025753616,PFA Brug Livet Fonden,PFA Brug Livet Fonden,209,1
264009771074617,Niels Fuglsang,Niels Fuglsang,209,6
246097715413231,Alkohol & Samfund,Alkohol & Samfund,206,6
186645960378,Danwatch,Danwatch,190,8
19176473894,IMS (International Media Support),IMS (International Media Support),176,1
107305428114846,Anja Rosengreen,Anja Rosengreen,175,2
185888988175423,Netavisen Pio,Netavisen Pio,175,3
133646853348352,Enghave Barok,Enghave Barok,161,1
1037138983037629,Hjem til Alle alliancen,Hjem til Alle,155,1
1471913586453233,Organdonation - ja tak,Organdonation - ja tak,153,1
67571270393,Red Barnet,Red Barnet,138,3
257480614286065,Den Sorte Diamant - Det Kgl. Bibliotek,Det Kgl. Bibliotek,130,1
314676938743,DM din akademiske fagforening,DM,129,6
591683257511399,Sprøjtefri - Nej til sprøjtegifte i haven,VPU - Vandværkerne i Aarhus,123,3
144098125661833,Nordea Invest,Nordea Invest,121,3
167887506877,AIDS-Fondet,AIDS-Fondet,121,1
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer",Landbrug & Fødevarer,118,2
341299649231023,Zetland,Zetland,106,8
111860851169984,Lars Qvist,Lars Qvist,102,2
126649544104126,SF i Randers,SF Randers,≤100,1
142641498926,Fairtrade-mærket Danmark,Fairtrade Danmark,≤100,10
398144900313793,"Mads Præstegaard, SF Roskilde Byråd",SF Roskilde,≤100,3
217135424459,Karen Blixen Museum,Karen Blixen Museum,≤100,2
367522986719919,Gastech-Energi,Gastech-Energi A/S,≤100,3
174887643104,Sisse Marie Welling,SF København,≤100,1
101875815016312,Caroline Victoria Christensen,Caroline Victoria Christensen,≤100,1
106011385624734,Michael Rosenmark - kandidat for Danmarksdemokraterne,Michael Rosenmark,≤100,3
105910348941254,Dubai Aqar,These ads ran without a disclaimer,≤100,1
116061635098137,Karina Lorentzen Dehnhardt,SF,≤100,1
314301147507,Astma-Allergi Danmark,Astma-Allergi Danmark,≤100,5
615028135227297,Institut for psykosomatik og følelsesforløsning,These ads ran without a disclaimer,≤100,1
167412043730,Venstres Ungdom - VU,Venstres Ungdom - VU,≤100,1
100263786205970,Job i Altiden Ekko,Altiden Ekko,≤100,3
1522666927799763,BCG in Denmark,Boston Consulting Group,≤100,4
98486774725,Djøf,Djøf,≤100,4
110721302396563,Agri Nord,Agri Nord,≤100,1
