Location name,Amount spent (MXN)
Aguascalientes,7010
Baja California,24260
Baja California Sur,5231
Campeche,9430
Chiapas,13186
Chihuahua,17765
Coahuila de Zaragoza,96429
Colima,6221
Distrito Federal,118636
Durango,4306
Guanajuato,19461
Guerrero,6672
Hidalgo,5639
Jalisco,32452
Michoacán de Ocampo,18044
Morelos,8996
Nayarit,3269
Nuevo León,62921
Oaxaca,17931
Puebla,45729
Querétaro Arteaga,12608
Quintana Roo,25644
San Luis Potosi,9783
Sinaloa,5781
Sonora,13113
State of Mexico,130788
Tabasco,7091
Tamaulipas,21733
Tlaxcala,2690
Unknown,≤100
Veracruz,23528
Yucatán,30329
Zacatecas,4201
