Location name,Amount spent (BRL)
Acre (state),1376
Alagoas,3533
Amapá,1346
Amazonas,5627
Bahia,16793
Ceará,13915
Espírito Santo,5746
Federal District,9603
Goiás,10457
Maranhão,6127
Mato Grosso,6249
Mato Grosso do Sul,5750
Minas Gerais,40369
Paraná,23225
Paraíba,5527
Pará,8918
Pernambuco,12629
Piauí,3699
Rio Grande do Norte,5213
Rio Grande do Sul,35062
Rio de Janeiro (state),30361
Rondônia,2955
Roraima,963
Santa Catarina,15842
Sergipe,3974
São Paulo (state),97917
Tocantins,1823
Unknown,≤100
