Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
251292808253299,Canadian College,Canadian College,611176,19
619776134722439,Secretaría Distrital de Salud,Secretaría Distrital de Salud,559895,15
377334062304350,Secretaría de Educación de Bogotá,Secretaría de Educación de Bogotá,513468,4
601336570076276,Rodolfo Correa,Rodolfo Andres Vargas Correa,390996,3
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,329074,4
103753489693220,Acciona,These ads ran without a disclaimer,290580,1
321789057890530,Secretaría de Movilidad,Secretaría de Movilidad,275122,26
157146724439549,Luis Bernardo Vélez,Martha Patricia Giraldo,218533,4
112155252163421,Sebastián López V.,Sebastian Lopez Valencia,195322,11
175286072898201,Braulio Espinosa Márquez,Braulio Espinosa,156956,2
167744296752102,José Luis Osorio,Sergio Andres Quintero Romero,140200,2
381464961911270,Cruz Roja Antioquia,Cruz Roja Colombiana Seccional Antioquia,130722,13
1147318942107929,Todos Somos Una,DEBRAIN LLC,124917,4
2341225942579432,Edwin Marín Concejal,Edwin Fabian Marin Marin,110747,3
417060811811167,Juan David Duque García,Juan David Duque Garcia,107014,9
1119413181474050,El Avispero Mov,Movilizatorio,104950,2
370267297019304,Marco Hincapié,Marco Emilio Hincapie Ramirez,98376,3
643513979193133,Unidos por Beatriz,Neuma,93955,6
101871502791636,Carlos Acosta Juliao Oficial,Toro Digital,87311,3
108158921672438,Llener Borja,Alvaro Jose Gomez Ramirez,84265,11
190649367660431,Orlando Benítez,Orlando David Benitez Mora,81101,3
381403022031226,Steven Cárdenas,Reynaldo Steven Cardenas Espinosaespinosa,74971,1
2158318667815480,Nancy Henao Ruiz,Nancy Concejal Verde,74436,4
104969865721375,Profes.movimientociudadano,John Bazurto,73974,7
1379933302305788,Colegio Gimnasio Americano,Colegio Gimnasio Americano,63337,2
796134277395174,Luis Francisco Ruiz Aguilar,Luis Francisco Ruiz Aguilar,62478,5
851424944887797,Meridiano Regional,Meridiano Regional,58767,1
102106249390475,Firmeza,Firmeza,54257,3
114317847146525,Alvaro Arias Velez,TORO DIGITAL,53405,3
1004865626202028,Jaime Peña Peñaranda,Joseph Ferney Galvis Gonzalez,53357,4
101769386141297,Congreso Nacional de Actualización Tributaria y Laboral,Julian Chuchoque,52088,1
1622001728047397,Harman Alcalde,Harman Alcalde,51587,8
201504926957834,Luis M. Carvajalino,Luis Manuel Carvajalino Quin,47204,5
2853539871537206,Nacionalidad Sefardies,These ads ran without a disclaimer,41511,1
460297427472944,Corporación  Educativa Politécnico La Salle,Corporación Educativa Politécnico La Salle,40889,1
419817215217632,Tecnología y Servicios Electorales,Tecnología y Servicios electorales S.A.S,37262,1
1823807254333065,Soy Más País,Soy Mas Pais,36179,7
102189475407642,Eder Regalado,Eder Luis Regalado Matos,36018,5
109543151825317,Contigo Montañita,Tuto Gonzalez,35289,2
915743661945208,Alejandro Eder,Alejandro Eder,34358,7
1488419784774409,Alcaldía de Soledad,Alcaldía Municipal de Soledad,33787,4
1588561874548381,Carlos Alfredo García - Abogado,Carlos Alfredo García - Abogado,31676,24
53177129367,Dilian Francisca Toro Torres,Dilian Francisca Toro,31601,5
765302097170348,Línea Cero,Linea Cero,31202,7
110949610429115,Nelson Camacho Caicedo,Nelson E. Camacho Caicedo,30919,2
133787883971402,Oscar Ramírez Vahos,Oscar Ramirez Vahos,30691,1
437833369757523,DB MEDIA,Diana Paola Bernal Rodriguez,30224,1
418155555015037,Germán Escobar Cundinamarca,German Mauricio Escobar,29785,1
2280357942291111,Luis Carlos Velásquez,Luis Carlos Velásquez,29104,5
1174073589339169,Cauca Nos Une,Eduer Mauricio Muñoz Noguera,27884,1
1625137160961683,Verónica Arango,Diputada Veronica Arango,26750,2
101411538388741,Bayron Flórez Portilla,Deiner Mayoral,26429,5
454868334556847,Huawei Latinoamérica,These ads ran without a disclaimer,26287,1
