Location name,Amount spent (RON)
Alba County,703
Arad County,874
Argeș County,1052
Bacău County,865
Bihor County,892
Bistrița-Năsăud County,442
Botoșani County,529
Brașov County,799
Brăila County,514
Bucharest,4405
Buzău County,615
Caraș-Severin County,372
Cluj County,1450
Constanța County,1102
Covasna County,396
Călărași County,394
Dolj County,997
Dâmbovița County,744
Galați County,819
Giurgiu County,314
Gorj County,531
Harghita County,596
Hunedoara County,612
Ialomița County,273
Iași County,1197
Ilfov County,578
Maramureș County,644
Mehedinți County,369
Mureș County,1106
Neamț County,1528
Olt County,457
Prahova County,1088
Satu Mare County,551
Sibiu County,766
Suceava County,825
Sălaj County,333
Teleorman County,409
Timiș County,1274
Tulcea County,266
Unknown,≤100
Vaslui County,493
Vrancea County,1130
Vâlcea County,486
