Location name,Amount spent (EGP)
Al Sharqia Governorate,2553
Alexandria Governorate,1043
Aswan Governorate,330
Asyut Governorate,447
Beheira Governorate,651
Beni Suef Governorate,271
Cairo Governorate,3109
Dakahlia Governorate,1296
Damietta Governorate,349
Faiyum Governorate,252
Gharbia Governorate,964
Giza Governorate,1306
Ismailia Governorate,301
Kafr el-Sheikh Governorate,537
Luxor Governorate,121
Matrouh Governorate,≤100
Minya Governorate,594
Monufia Governorate,858
New Valley Governorate,407
North Sinai Governorate,≤100
Port Said Governorate,178
Qalyubia Governorate,1049
Qena Governorate,324
Red Sea Governorate,122
Sohag Governorate,492
South Sinai Governorate,≤100
Suez Governorate,132
Unknown,≤100
