Location name,Amount spent (THB)
Amnat Charoen,116
Ang Thong,≤100
Ayutthaya,697
Bangkok,10990
Bueng Kan,≤100
Buriram,388
Chachoengsao,296
Chai Nat,≤100
Chaiyaphum,199
Chanthaburi,144
Chiang Mai,636
Chiang Rai,267
Chon Buri,624
Chumphon,281
Kalasin,194
Kamphaeng Phet,143
Kanchanaburi,211
Khon Kaen,449
Krabi,288
Lampang,185
Lamphun,102
Loei,138
Lop Buri,169
Mae Hong Son,≤100
Maha Sarakham,222
Mukdahan,107
Nakhon Nayok,≤100
Nakhon Pathom,330
Nakhon Phanom,137
Nakhon Ratchasima,635
Nakhon Sawan,488
Nakhon Si Thammarat,1984
Nan,≤100
Narathiwat,168
Nong Bua Lam Phu,103
Nong Khai,147
Nonthaburi,608
Pathum Thani,683
Pattani,342
Phangnga,193
Phatthalung,519
Phayao,109
Phetchabun,175
Phetchaburi,413
Phichit,361
Phitsanulok,3407
Phrae,108
Phuket,1332
Prachin Buri,137
Prachuap Khiri Khan,349
Ranong,≤100
Ratchaburi,253
Rayong,251
Roi Et,301
Sa Kaeo,112
Sakon Nakhon,271
Samut Prakan,487
Samut Sakhon,323
Samut Songkhram,≤100
Saraburi,197
Satun,268
Sing Buri,≤100
Sisaket,333
Songkhla,2733
Sukhothai,149
Suphan Buri,187
Surat Thani,2456
Surin,923
Tak,103
Trang,359
Trat,≤100
Ubon Ratchathani,585
Udon Thani,352
Unknown,≤100
Uthai Thani,≤100
Uttaradit,103
Yala Province,184
Yasothon,184
