Location name,Amount spent (CLP)
Antofagasta Region,97292
Araucanía Region,164705
Arica y Parinacota Region,50358
Atacama Region,31587
Aysén Region,26138
Bío Bío Region,350912
Coquimbo Region,112992
Los Lagos Region,157037
Los Ríos Region,92927
Magallanes y la Antártica Chilena Region,34938
Maule Region,154001
O'Higgins Region,130970
Santiago Metropolitan Region,1377616
Tarapacá Region,46811
Unknown,295
Valparaíso Region,298638
