Location name,Amount spent (IDR)
Aceh,1181303
Bali,8554245
Bangka–Belitung Islands,692244
Banten,5339117
Bengkulu,960941
Central Java,19422329
Central Kalimantan,981588
Central Sulawesi,1472812
East Java,22754636
East Kalimantan,3306289
East Nusa Tenggara,8121251
Gorontalo,1117578
Jakarta,17069594
Jambi,1168277
Lampung,3976257
Maluku,714796
North Kalimantan,468397
North Maluku,539321
North Sulawesi,3644011
North Sumatra,6340706
Papua (province),6955853
Riau,3468718
Riau Islands Province,1140159
South Kalimantan,1777701
South Sulawesi,5410742
South Sumatra,4272774
Southeast Sulawesi,1259910
Special Region of Yogyakarta,7470502
Unknown,18799
West Java,21856802
West Kalimantan,3139091
West Nusa Tenggara,1724077
West Papua,513719
West Sulawesi,606206
West Sumatra,1693159
