Location name,Amount spent (USD)
Azuay Province,1389
Bolívar Province,176
Carchi Province,130
Cañar Province,314
Chimborazo Province,553
Cotopaxi Province,426
El Oro Province,1893
Esmeraldas Province,671
Galápagos Province,≤100
Guayas Province,6024
Imbabura Province,723
Loja Province,692
Los Ríos Province,1364
Manabí Province,2567
Morona-Santiago Province,193
Napo Province,133
Orellana Province,273
Pastaza Province,182
Pichincha Province,3700
Santa Elena Province,474
Santo Domingo de los Tsáchilas Province,2186
Sucumbíos Province,265
Tungurahua Province,687
Unknown,≤100
Zamora-Chinchipe Province,125
