Location name,Amount spent (TWD)
Changhua,4032
Chiayi,842
Hsinchu,2120
Hsinchu City,3434
Hualien,1729
Kaohsiung,14765
Keelung City,1664
Kinmen,300
Lienchiang,≤100
Miaoli,2100
Nantou,1682
New Taipei City,22564
Penghu,348
Pingtung,2699
Taichung,17019
Tainan,9245
Taipei,19115
Taitung,1082
Taoyuan City,13373
Unknown,1786
Yilan,1611
Yunlin,2487
