Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
1392592317738074,Jorge Cálix,Jorge Cálix,2222,6
481781965172466,Aquafinca St Peter Fish,Aquafinca St Peter Fish,1879,4
113279288457664,Quintin AMIGO,Quintin AMIGO,1394,5
118528834549272,El Informante,El Informante,198,1
158158757637896,Alianza Paz y Justicia,Alianza Paz y Justicia,188,1
106426658467096,VESA Honduras,These ads ran without a disclaimer,≤100,1
102311548830193,BabiesDoppler,These ads ran without a disclaimer,≤100,1
104002928883686,Somatic Institute For Women,These ads ran without a disclaimer,≤100,1
178733982198928,SulaTech,These ads ran without a disclaimer,≤100,1
112589195019287,Enjoy the Moment,These ads ran without a disclaimer,≤100,1
