Location name,Amount spent (EUR)
Alsace,428
Aquitaine,893
Auvergne,249
Basse-Normandie,284
Bourgogne,313
Bretagne,689
Centre,483
Champagne-Ardenne,280
Corse,≤100
Franche-Comté,196
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,403
Languedoc-Roussillon,816
Limousin,162
Lorraine,561
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,667
New Caledonia,≤100
Nord-Pas-de-Calais,796
Pays de la Loire,700
Picardie,376
Poitou-Charentes,404
Provence-Alpes-Côte d'Azur,1739
Reunion Island,≤100
Rhône-Alpes,1597
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,3308
