Location name,Amount spent (IDR)
Aceh,962306
Bali,989909
Bangka–Belitung Islands,344768
Banten,2651001
Bengkulu,429008
Central Java,8610880
Central Kalimantan,423634
Central Sulawesi,1212397
East Java,4753469
East Kalimantan,747301
East Nusa Tenggara,1712942
Gorontalo,937426
Jakarta,6197019
Jambi,541130
Lampung,2906219
Maluku,501741
North Kalimantan,113003
North Maluku,222733
North Sulawesi,1088319
North Sumatra,4175786
Papua (province),469004
Riau,1408887
Riau Islands Province,470985
South Kalimantan,546971
South Sulawesi,2395143
South Sumatra,3105249
Southeast Sulawesi,455692
Special Region of Yogyakarta,712194
Unknown,2241
West Java,8703459
West Kalimantan,772023
West Nusa Tenggara,1464287
West Papua,215238
West Sulawesi,213737
West Sumatra,1302992
