Location name,Amount spent (EGP)
Al Sharqia Governorate,2270
Alexandria Governorate,1993
Aswan Governorate,252
Asyut Governorate,572
Beheira Governorate,1156
Beni Suef Governorate,423
Cairo Governorate,4726
Dakahlia Governorate,1717
Damietta Governorate,548
Faiyum Governorate,450
Gharbia Governorate,1423
Giza Governorate,1449
Ismailia Governorate,322
Kafr el-Sheikh Governorate,730
Luxor Governorate,183
Matrouh Governorate,≤100
Minya Governorate,802
Monufia Governorate,1057
New Valley Governorate,≤100
North Sinai Governorate,119
Port Said Governorate,646
Qalyubia Governorate,1745
Qena Governorate,427
Red Sea Governorate,177
Sohag Governorate,624
South Sinai Governorate,≤100
Suez Governorate,185
Unknown,≤100
