Location name,Amount spent (EUR)
Alsace,646
Aquitaine,1310
Auvergne,382
Basse-Normandie,418
Bourgogne,520
Bretagne,1007
Centre,740
Champagne-Ardenne,383
Corse,137
Franche-Comté,321
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,579
Languedoc-Roussillon,1134
Limousin,205
Lorraine,724
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1041
New Caledonia,≤100
Nord-Pas-de-Calais,1205
Pays de la Loire,1074
Picardie,815
Poitou-Charentes,574
Provence-Alpes-Côte d'Azur,2298
Reunion Island,≤100
Rhône-Alpes,2322
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4135
