Location name,Amount spent (GTQ)
Alta Verapaz Department,1014
Baja Verapaz Department,418
Chimaltenango Department,1399
Chiquimula Department,734
El Progreso Department,404
Escuintla Department,1758
Guatemala Department,20639
Huehuetenango Department,1690
Izabal Department,1224
Jalapa Department,565
Jutiapa Department,872
Petén Department,829
Quetzaltenango Department,2729
Quiché Department,1221
Retalhuleu Department,658
Sacatepéquez Department,1154
San Marcos Department,3973
Santa Rosa Department,649
Sololá Department,892
Suchitepéquez Department,1150
Totonicapán Department,793
Unknown,≤100
Zacapa Department,491
