Location name,Amount spent (EUR)
Abruzzo,792
Aosta Valley,≤100
Basilicata,320
Calabria,1019
Campania,3585
Emilia-Romagna,3411
Friuli-Venezia Giulia,816
Lazio,5366
Liguria,1584
Lombardia,7207
Marche,978
Molise,175
Piedmont,3212
Puglia,2462
Sardinia,1105
Sicilia,2709
Trentino-Alto Adige,591
Tuscany,2609
Umbria,597
Unknown,≤100
Veneto,2791
