Location name,Amount spent (MXN)
Aguascalientes,5375
Baja California,24556
Baja California Sur,8612
Campeche,25144
Chiapas,12640
Chihuahua,24529
Coahuila de Zaragoza,53136
Colima,7867
Distrito Federal,121088
Durango,5185
Guanajuato,51433
Guerrero,8597
Hidalgo,8206
Jalisco,124049
Michoacán de Ocampo,27589
Morelos,19272
Nayarit,2594
Nuevo León,124934
Oaxaca,12417
Puebla,19533
Querétaro Arteaga,24339
Quintana Roo,40300
San Luis Potosi,22539
Sinaloa,9551
Sonora,22813
State of Mexico,67257
Tabasco,14138
Tamaulipas,25833
Tlaxcala,4441
Unknown,≤100
Veracruz,20113
Yucatán,15650
Zacatecas,4739
