Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,316
Berane Municipality,≤100
Bijelo Polje Municipality,352
Budva Municipality,290
Danilovgrad Municipality,152
Herceg Novi Municipality,216
Kolašin Municipality,102
Nikšić Municipality,540
Old Royal Capital Cetinje,146
Petnjica Municipality,≤100
Plav Municipality,118
Pljevlja Municipality,268
Plužine Municipality,≤100
Podgorica Capital City,1897
Rožaje Municipality,214
Tivat Municipality,285
Ulcinj Municipality,513
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
