Location name,Amount spent (AUD)
Australian Capital Territory,616
Jervis Bay Territory,≤100
New South Wales,20101
Northern Territory,214
Queensland,6661
South Australia,2295
Tasmania,1308
Unknown,≤100
Victoria,10373
Western Australia,3510
