Location name,Amount spent (JPY)
Aichi Prefecture,9932
Akita Prefecture,1132
Aomori Prefecture,1423
Chiba Prefecture,8333
Ehime Prefecture,1273
Fukui Prefecture,1277
Fukuoka Prefecture,85239
Fukushima Prefecture,2026
Gifu Prefecture,2302
Gunma Prefecture,2281
Hiroshima Prefecture,3287
Hokkaido,7565
Hyōgo Prefecture,7476
Ibaraki Prefecture,3210
Ishikawa Prefecture,1615
Iwate Prefecture,1422
Kagawa Prefecture,1837
Kagoshima Prefecture,2298
Kanagawa Prefecture,13384
Kumamoto Prefecture,4726
Kyoto Prefecture,4131
Kōchi Prefecture,612
Mie Prefecture,2151
Miyagi Prefecture,9039
Miyazaki Prefecture,1683
Nagano Prefecture,3190
Nagasaki Prefecture,3406
Nara Prefecture,1802
Niigata Prefecture,2189
Okayama Prefecture,2243
Okinawa Prefecture,3329
Osaka Prefecture,15619
Saga Prefecture,2709
Saitama Prefecture,10011
Shiga Prefecture,1703
Shimane Prefecture,828
Shizuoka Prefecture,4203
Tochigi Prefecture,1919
Tokushima Prefecture,1088
Tokyo,53724
Tottori Prefecture,439
Toyama Prefecture,1254
Unknown,≤100
Wakayama Prefecture,1418
Yamagata Prefecture,1252
Yamaguchi Prefecture,2079
Yamanashi Prefecture,1046
Ōita Prefecture,3267
