Location name,Amount spent (SEK)
Blekinge County,3094
Dalarna County,6310
Gotland County,1603
Gävleborg County,6528
Halland County,6435
Jämtland County,3760
Jönköping County,7598
Kalmar County,5261
Kronoberg County,3687
Norrbotten County,5748
Skåne County,28623
Stockholm County,53441
Södermanland County,6603
Unknown,≤100
Uppsala County,8859
Värmland County,5732
Västerbotten County,6555
Västernorrland County,5110
Västmanland County,5780
Västra Götaland County,38198
Örebro County,6816
Östergötland County,9591
