Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
177072498997234,NSW Electoral Commission,NSW Electoral Commission,3583,36
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,3054,160
213476079972,Essential Workers Deserve Better,Mark Morey,1824,40
107765634022348,Henry Pike MP,Henry Pike MP,1533,4
101589645013040,Thrive by Five,Thrive By Five,1519,27
682268945137255,Chris Minns,Chris Minns MP,1484,9
107113675572590,Dirty Dozen,Solutions for Australia,1471,63
10113538711,WWF-Australia,WWF-Australia,1332,6
108695110952294,Greens MPs,Greens MPs,1287,18
1776727752614025,Glencore,Glencore Australia,1143,8
146307378744087,The Victorian Electoral Commission,Victorian Electoral Commission,1105,2
308746806571901,Advance Australia,Advance Australia,1019,78
447447719391089,Health Care Providers Association,Health Care Providers Association,1019,8
92824008332,Plan International Australia,Plan International Australia,1012,13
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,899,11
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,862,16
575557119153505,Department of Planning and Environment,"NSW Department of Planning, Industry and Environment",764,14
182564410468,Australia for UNHCR,Australia for UNHCR,733,106
494820897261439,Bank Australia,Bank Australia,655,38
8422338499,The Wilderness Society,The Wilderness Society,639,206
1462430057383170,GoodFish: Australia's Sustainable Seafood Guide,GoodFish: Australia's Sustainable Seafood Guide,497,3
345960425540557,The Climate Council,The Climate Council,489,48
102329728050606,From the Heart,Cape York Institute,472,7
106791108597531,Future of Local Government Review - Tasmanian Government,Department of Premier and Cabinet,426,7
2080670615483977,Verve Super,Verve Super,398,3
100157751855023,Wayne Farnham,Wayne R Farnham,391,4
341910905847062,Asylum Seeker Resource Centre (ASRC),Asylum Seeker Resource Centre (ASRC),388,12
105931422364976,Jacqui Scruby,Jacqui Scruby,377,22
101934832754638,Joeline Hackman,Joeline Pty Ltd,345,8
149648047339,Save the Children Australia,Save the Children Australia,316,12
101013236196328,Victoria Davidson for Lane Cove,Victoria Davidson,300,12
103669462490977,Alyssa Weaver - Greens for Narracan,Victorian Greens,292,4
316480331783930,Australian Unions,Australian Unions,279,41
125812604095801,Invasive Species Council,Invasive Species Council,276,33
105193414903922,Australian Values,Department of Home Affairs,267,10
105140971475089,Chuffed.org - Australia,Chuffed.org,251,6
694832627392516,Prime Super,Prime Super,243,153
106572145637277,Helen Conway for North Shore,Helen Conway,243,11
352953834815624,Jason Wood MP,Jason Wood MP,242,7
159487260807787,Tindo Solar,Tindo Solar,242,2
504855933190931,Time for Change - Change Aged Care,United Workers Union,238,62
10852627380,World Animal Protection Australia,World Animal Protection Australia,223,8
328245481103110,Senator Alex Antic,Alex Antic,210,7
1407148622837316,Empowered Communities,Empowered Communities,207,1
479405598755720,Women NSW,Women NSW,202,11
710266392358023,Future Super,Future Super,196,6
36002998891,City of Sydney,City of Sydney,188,6
2383045228374491,CPAC Australia,Conservative Political Action Network Ltd,186,17
110078315248369,Tony Wolfe,Tony Wolfe,185,7
105084998845350,BPH Energy,BPH ENERGY LTD,182,121
495942030479550,Electoral Commission of South Australia,ECSA,178,1
879712192044319,Animal Justice Party NSW,Animal Justice Party NSW,173,22
1670517743250253,Save the Daintree Rainforest,Rainforest 4 Foundation Ltd,173,14
157481181070130,Indigenous Employment Australia,Access,171,90
110647840532680,Merge Mayor,These ads ran without a disclaimer,167,1
1943258269309425,Equality Australia,Equality Australia,161,22
147373667055,Senator Nick McKim,Senator Nick McKim,161,2
104946487519114,Hon Nick Goiran MLC,Office of Hon Nick Goiran MLC,150,1
1513078735604544,Dept of Communities and Justice NSW - safer together,Department of Communities and Justice,145,3
280996218747910,Tim Richardson,Tim Richardson,144,8
272757739102,Engineers Australia,Engineers Australia,139,10
281530749293959,Rainforest 4,Rainforest 4 Foundation Ltd,136,5
387624131383295,Dept of Communities and Justice NSW - stronger together,Department of Communities and Justice,131,1
6598599526,Australian Museum,Australian Museum,129,14
616932805013929,MEAA,MEAA,127,5
100356216050100,Family First Party Australia,Family First Party Australia Ltd,124,6
1483396328456198,Acciona.Australia,ACCIONA Australia,120,4
1415055752091843,The Mandarin,Private Media,115,9
135933556447881,Australian Republic Movement,Australian Republic Movement,107,7
145347352187764,UN Women Australia,UN Women Australia,102,12
191570179167,Catherine Hamlin Fistula Foundation,Catherine Hamlin Fistula Foundation,102,15
115906901777839,Stuart Ayres,Stuart Ayres,≤100,5
108381455902627,Australian Christian Lobby,Australian Christian Lobby,≤100,6
655944151127130,SBS Cantonese 廣東話節目,Special Broadcasting Service,≤100,24
801533023293160,Binary,Gender Awareness Australia,≤100,30
199045310115813,The Urban Developer,The Urban Developer,≤100,11
496680983729627,Chifley Research Centre,Chifley Research Centre,≤100,9
103650197726925,Ali King MP,Ali King,≤100,2
111577958275695,Better BeCause,Better BeCause,≤100,11
