Location name,Amount spent (IDR)
Aceh,965978
Bali,1305084
Bangka–Belitung Islands,308175
Banten,1567826
Bengkulu,644505
Central Java,6411903
Central Kalimantan,746515
Central Sulawesi,933540
East Java,9039675
East Kalimantan,1712447
East Nusa Tenggara,1619763
Gorontalo,471826
Jakarta,3472459
Jambi,1026656
Lampung,1605094
Maluku,523435
North Kalimantan,275158
North Maluku,437659
North Sulawesi,1434461
North Sumatra,3188630
Papua (province),592676
Riau,1833802
Riau Islands Province,946276
South Kalimantan,803586
South Sulawesi,2730330
South Sumatra,2046577
Southeast Sulawesi,709346
Special Region of Yogyakarta,1005790
Unknown,1618
West Java,8003116
West Kalimantan,1277309
West Nusa Tenggara,1236067
West Papua,306010
West Sulawesi,283457
West Sumatra,1179751
