Location name,Amount spent (HUF)
Baranya County,101393
Borsod-Abaúj-Zemplén County,172638
Budapest,813339
Bács-Kiskun County,131858
Békés County,95562
Csongrád County,149071
Fejér County,122502
Győr-Moson-Sopron County,122493
Hajdú-Bihar County,126748
Heves County,84465
Jász-Nagykun-Szolnok County,94298
Komárom-Esztergom County,94827
Nógrád County,46269
Pest County,407013
Somogy County,73256
Szabolcs-Szatmár-Bereg County,115786
Tolna County,56079
Unknown,≤100
Vas County,67659
Veszprém County,90514
Zala County,78912
