Location name,Amount spent (JMD)
Hanover Parish,≤100
Manchester Parish,≤100
Portland Parish,≤100
Saint Andrew Parish,≤100
Saint Ann Parish,≤100
Saint Catherine Parish,≤100
Saint Elizabeth Parish,≤100
Saint Mary Parish,≤100
Trelawny Parish,≤100
