Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
103239152025517,Aktuális,Aktuális Média,838207,1
776079922494181,Apáti Bence hivatalos oldala,Megafon,733898,2
294998357524107,Deák Dániel,Megafon,524081,3
120370174702378,Magyarország Kormánya,Magyarország Kormánya,428578,2
503614639975773,Trombitás Kristóf,Megafon,397457,3
109637397268775,Nyugati Pályán,Splendidea Communications Kft,191042,9
594088897289853,Alapjogokért Központ,Alapjogokért Központ,183754,32
178362315106,European Parliament,European Parliament,181448,11
543788999005363,ORIGO,Mediaworks Hungary Zrt.,91479,15
306318386058001,Dr. Molnár Csaba,Demokratikus Koalíció,84045,1
1878531865537365,Kálmán Olga,Demokratikus Koalíció,83047,1
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,81659,1
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,76800,22
191461774219575,hirado.hu,hirado.hu,75779,34
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,67172,1
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,64092,6
248172631940,Mandiner,Mediaworks Hungary Zrt.,62425,11
224274995688487,Bohár Dániel - Riporter,Megafon,56072,1
110462711892232,DK TV,Demokratikus Koalíció,54798,2
438674070213065,Magyar Állampapír,Magyar Állampapír,53056,3
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,52725,10
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,49889,8
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,47503,10
108346693873484,Győrffy Balázs,Balazs Gyorffy,36686,4
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,32743,5
150219742265121,Bedő Dávid,Bedő Dávid - Momentum,30716,6
423317774385144,Magyar Demokrata hetilap,Demokrata,28523,2
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,28206,4
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,27489,4
1920158678081160,Nemzetpolitikai Államtitkárság,Nemzetpolitikai Államtitkárság,25154,2
1487569941539650,Tanítanék,Humán Platform,24669,3
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,24535,7
193944440638410,Karácsony Gergely,Budapest Főváros Önkormányzat,23695,4
136873753073862,Nőkért Egyesület,Antoni Rita Judit,23538,1
1534911313439123,Ripost,Ripost,22381,7
100299381703981,Ps TV,PestiSrácok.hu,21662,4
131283758531,HVG,HVG Kiadó ZRt.,21595,12
1265353903615539,Oeconomus,Oeconomus,21098,15
136387873164491,Csárdi Antal,LMP - Magyarország Zöld Pártja,19984,5
1880809845328535,Dobrev Klára,Demokratikus Koalíció,19187,1
447204268797621,RTL.hu,RTL.HU,18112,4
110149601578231,GeriJoca,Megafon,17586,1
106280224056208,Gelencsér Ferenc,Momentum Mozgalom,16207,4
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,15419,5
105666454157523,Szikra Mozgalom,Szikra Mozgalom,14980,4
537817739693723,Brain Bar,Brain Bar,14732,7
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,14510,9
592204747588011,Momentum Mozgalom,Momentum Mozgalom,14324,7
206674032754117,"Karitáció Alapítvány, Gyógyító Bohócdoktorok",Karitáció Közhasznú Alapítvány,14267,2
105129068891221,Frisshirek.hu,Genesis Médiacsoport Kft.,13535,7
264517713636590,PestiSracok.hu,PestiSrácok.hu,12886,10
176838269632977,Agreena,These ads ran without a disclaimer,12613,1
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,12506,9
193702058028595,Lázár János,Lázár János hivatalos oldala,11896,2
128596180810227,Stefi Déri,Megafon,11373,1
168575333176758,Wintermantel Zsolt,Wintermantel Zsolt,11148,1
103946674951254,Kötter Tamás,Megafon,10829,1
109414841321682,Magyar Falu Program,Magyar Falu Program,10724,2
1926735160968885,Válasz Online,Válasz Online,10685,3
108248022589754,Bosch Magyarország,Bosch Magyarország,10618,10
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,10230,35
103433614761947,Megafon,Megafon,10148,1
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,9768,3
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,9736,6
115295915203476,Európa Pont,Európai Bizottság Magyarországi Képviselete,9553,8
326763130286,Borsod Online,Borsod Online,9465,3
100241004684178,Balázs Endre - Momentum,Momentum Mozgalom,9454,2
294815374340858,Donáth Anna,Donáth Anna - Momentum,9130,1
85568463466,Mérce,Mérce,8826,14
1869511526651884,Zsigmond Barna Pál,Fidesz,8747,11
100452852734271,Startlap - Vásárlás tippek,Central Médiacsoport Zrt.,8735,4
851784814892644,Simicskó István,KDNP frakció,8735,1
103922897650335,Bakos Bernadett,LMP - Magyarország Zöld Pártja,8517,3
618962048554434,Havasi Gábor,Momentum Mozgalom,8491,3
1627127484170228,NHC24,Mediaworks Hungary Zrt.,8369,3
108395900927334,Kovács István,Kovács István Megafon,8310,4
129255963785124,Heol.hu,Heol.hu,8280,3
276554411147,Szabolcs Online,Szabolcs Online,8144,3
100208772895832,Szombathy Dénes Gyula,Pesterzsébeti Fidesz,8142,5
116905388345518,veol.hu,Mediaworks Hungary Zrt.,8058,2
1237616006358749,Kékes Online,Kékes Online,7989,14
160935777365,bama.hu - a baranya megyei hírportál,bama.hu - a baranya megyei hírportál,7882,2
506244332746545,TEOL.hu,TEOL.hu,7866,2
125953004085398,Kemma.hu,Kemma.hu,7608,3
258636010813346,Delmagyar.hu,Mediaworks Hungary Zrt.,7416,2
108087758588692,Talabér Krisztián Nézőpontja,Nézőpont,7381,3
126539424061030,Háttér Társaság,Háttér Társaság,7313,2
134324809941862,Szoljon.hu,Mediaworks Hungary Zrt.,7288,2
320986996098,zaol.hu,Mediaworks Hungary Zrt.,7165,2
172936669443469,Dunaújvárosi Hírlap - duol.hu,Dunaújvárosi Hírlap - duol.hu,6715,2
