Page ID,Page name,Disclaimer,Amount spent (LBP),Number of ads in Library
394633411339696,fiftyfiftylb,FiftyFiftylb,958796,11
1438703606372190,Elham Said Freiha,Elham Said Freiha,827068,1
102023711572671,أساس ميديا -  Asas Media,Asas Media,676692,14
1108768849269022,B. CHEZ MOON,Asasate Development,421053,1
106197498149118,لبنان الكبير,Grand Lebanon,315789,4
116157328113022,Hide Park,Friedrich-Ebert-Stiftung Lebanon Office,300752,2
278035695547539,Legal Agenda  المفكرة القانونية,legal Agenda,290526,3
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,289323,4
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,210526,2
2509759842418472,LebTalks,Lebtalks,180451,2
347252006998,Nouhad Machnouk Official Page,Nouhad Machnouk Official Page,120301,1
107800617419717,MYKA Foundation,MYKA Foundation,90226,1
446168552419572,SEEDS for Legal Initiatives - نواة للمبادرات القانونية,SEEDS for Legal Initiatives - نواة للمبادرات القانونية,75188,1
1744356319118477,هنا لبنان,هنا لبنان,60150,4
105319651353770,Jusur,Jusur,60150,3
164267520267912,LebanonFiles.com (Live News From Lebanon),LebanonFiles.com (Live News From Lebanon),60150,2
1502687013388650,Media Factory News,Media Factory News,60150,4
109112633772887,180post,180Post,45113,1
108728968627122,Beirut24.org,Beirut24.org,16391,1
110913872086671,مباراة الجاهلية الكبرى السبت ٥ آب ٢٠٢٣,These ads ran without a disclaimer,15038,1
327943840921884,ONDES,ONDES,15038,2
344500588997099,Ezzaldeen Photography,Ezzaldeen Photography,15038,1
105492209263580,قناة ادعُ,These ads ran without a disclaimer,15038,1
123458990728979,maharat_training_center1,These ads ran without a disclaimer,15038,1
111876598323760,صدى الأرز اللبنانية,صدى الأرز اللبنانية,15038,1
775764945964442,Nabil Badr-نبيل بدر,Nabil Badr-نبيل بدر,4662,1
236505100490400,Follow,These ads ran without a disclaimer,292,1
123465590650551,Allied Health Group USA,These ads ran without a disclaimer,216,1
1717497868504337,Truth and Moments,These ads ran without a disclaimer,≤100,1
30911162508,Forbes,These ads ran without a disclaimer,≤100,1
176104589110851,IEEE,These ads ran without a disclaimer,≤100,1
405199520209766,The Belt and Road News Network,These ads ran without a disclaimer,≤100,1
402374586906969,DKT WomanCare Global,These ads ran without a disclaimer,≤100,1
112414251083829,Doria Feminist Fund,These ads ran without a disclaimer,≤100,1
104745534866693,macdetailing.mtl,These ads ran without a disclaimer,≤100,1
102873532224080,Jumping Jim,These ads ran without a disclaimer,≤100,1
151341828360741,ANBA News Agency,These ads ran without a disclaimer,≤100,1
