Location name,Amount spent (GTQ)
Alta Verapaz Department,244
Baja Verapaz Department,≤100
Chimaltenango Department,130
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,205
Guatemala Department,2176
Huehuetenango Department,263
Izabal Department,102
Jalapa Department,≤100
Jutiapa Department,103
Petén Department,≤100
Quetzaltenango Department,282
Quiché Department,282
Retalhuleu Department,≤100
Sacatepéquez Department,131
San Marcos Department,478
Santa Rosa Department,≤100
Sololá Department,101
Suchitepéquez Department,258
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
