Location name,Amount spent (PYG)
Alto Paraguay Department,56010
Alto Paraná Department,326316
Amambay Department,54345
Asunción,581042
Boquerón department,112260
Caaguazú Department,142486
Caazapá Department,105373
Canindeyú Department,51199
Central Department,1406766
Concepción Department (Paraguay),69036
Cordillera Department,107791
Guairá Department,52212
Itapúa Department,151798
Misiones Department,35879
Paraguarí Department,61976
Presidente Hayes Department,60126
San Pedro Department,120262
Unknown,≤100
Ñeembucú Department,28765
