Location name,Amount spent (USD)
Azuay Province,2304
Bolívar Province,240
Carchi Province,183
Cañar Province,404
Chimborazo Province,680
Cotopaxi Province,542
El Oro Province,1780
Esmeraldas Province,728
Galápagos Province,≤100
Guayas Province,8291
Imbabura Province,695
Loja Province,951
Los Ríos Province,1882
Manabí Province,3409
Morona-Santiago Province,207
Napo Province,202
Orellana Province,270
Pastaza Province,169
Pichincha Province,5871
Santa Elena Province,587
Santo Domingo de los Tsáchilas Province,1357
Sucumbíos Province,349
Tungurahua Province,904
Unknown,≤100
Zamora-Chinchipe Province,333
