Location name,Amount spent (EGP)
Al Sharqia Governorate,4232
Alexandria Governorate,7261
Aswan Governorate,724
Asyut Governorate,1766
Beheira Governorate,2254
Beni Suef Governorate,1107
Cairo Governorate,6550
Dakahlia Governorate,4486
Damietta Governorate,1236
Faiyum Governorate,1093
Gharbia Governorate,2974
Giza Governorate,2164
Ismailia Governorate,1056
Kafr el-Sheikh Governorate,1987
Luxor Governorate,541
Matrouh Governorate,236
Minya Governorate,1900
Monufia Governorate,2175
New Valley Governorate,224
North Sinai Governorate,374
Port Said Governorate,916
Qalyubia Governorate,1898
Qena Governorate,1189
Red Sea Governorate,362
Sohag Governorate,2164
South Sinai Governorate,169
Suez Governorate,522
Unknown,≤100
