Location name,Amount spent (ZAR)
Eastern Cape,751
Free State,855
Gauteng,3599
KwaZulu-Natal,1350
Limpopo,409
Mpumalanga,486
North West,402
Northern Cape,221
Unknown,≤100
Western Cape,9262
