Location name,Amount spent (SEK)
Blekinge County,2927
Dalarna County,5175
Gotland County,1354
Gävleborg County,5524
Halland County,5697
Jämtland County,3033
Jönköping County,6843
Kalmar County,4334
Kronoberg County,3312
Norrbotten County,5815
Skåne County,26776
Stockholm County,53466
Södermanland County,5621
Unknown,≤100
Uppsala County,9406
Värmland County,4802
Västerbotten County,5692
Västernorrland County,4906
Västmanland County,5296
Västra Götaland County,34109
Örebro County,5700
Östergötland County,9277
