Location name,Amount spent (DKK)
Capital Region of Denmark,50241
Central Denmark Region,28269
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,12556
Region of Southern Denmark,24765
Unknown,≤100
Zealand Region,15494
