Location name,Amount spent (JPY)
Aichi Prefecture,33953
Akita Prefecture,2091
Aomori Prefecture,3759
Chiba Prefecture,29209
Ehime Prefecture,4104
Fukui Prefecture,3605
Fukuoka Prefecture,52813
Fukushima Prefecture,5565
Gifu Prefecture,7306
Gunma Prefecture,10295
Hiroshima Prefecture,14680
Hokkaido,22710
Hyōgo Prefecture,24558
Ibaraki Prefecture,9673
Ishikawa Prefecture,4061
Iwate Prefecture,3490
Kagawa Prefecture,6636
Kagoshima Prefecture,5564
Kanagawa Prefecture,60732
Kumamoto Prefecture,9584
Kyoto Prefecture,14851
Kōchi Prefecture,1524
Mie Prefecture,6157
Miyagi Prefecture,13891
Miyazaki Prefecture,3434
Nagano Prefecture,6616
Nagasaki Prefecture,6081
Nara Prefecture,4690
Niigata Prefecture,5993
Okayama Prefecture,6570
Okinawa Prefecture,8815
Osaka Prefecture,50701
Saga Prefecture,4442
Saitama Prefecture,29202
Shiga Prefecture,5399
Shimane Prefecture,2277
Shizuoka Prefecture,13675
Tochigi Prefecture,7734
Tokushima Prefecture,1787
Tokyo,82060
Tottori Prefecture,1274
Toyama Prefecture,3073
Unknown,153
Wakayama Prefecture,2933
Yamagata Prefecture,2752
Yamaguchi Prefecture,4158
Yamanashi Prefecture,2332
Ōita Prefecture,5158
