Location name,Amount spent (EGP)
Al Sharqia Governorate,1491
Alexandria Governorate,2115
Aswan Governorate,259
Asyut Governorate,511
Beheira Governorate,843
Beni Suef Governorate,343
Cairo Governorate,3792
Dakahlia Governorate,1380
Damietta Governorate,375
Faiyum Governorate,347
Gharbia Governorate,1185
Giza Governorate,1277
Ismailia Governorate,285
Kafr el-Sheikh Governorate,581
Luxor Governorate,165
Matrouh Governorate,≤100
Minya Governorate,564
Monufia Governorate,796
New Valley Governorate,≤100
North Sinai Governorate,111
Port Said Governorate,284
Qalyubia Governorate,1113
Qena Governorate,392
Red Sea Governorate,152
Sohag Governorate,590
South Sinai Governorate,≤100
Suez Governorate,160
Unknown,≤100
