Location name,Amount spent (CZK)
Central Bohemian Region,8238
Hradec Králové Region,3999
Karlovy Vary Region,1841
Liberec Region,2653
Moravian-Silesian Region,7302
Olomouc Region,3751
Pardubice Region,4770
Plzeň Region,4618
Prague,18797
South Bohemian Region,4187
South Moravian Region,9652
Unknown,≤100
Vysočina Region,2835
Zlín Region,3694
Ústí nad Labem Region,6866
