Location name,Amount spent (PKR)
Azad Kashmir,1001
Balochistan,2608
Federally Administered Tribal Areas,142
Gilgit-Baltistan,330
Islamabad Capital Territory,786
Khyber Pakhtunkhwa,8436
Punjab,28922
Sindh,8167
Unknown,≤100
