Location name,Amount spent (PLN)
Greater Poland Voivodeship,4297
Kuyavian-Pomeranian Voivodeship,2339
Lesser Poland Voivodeship,4589
Lower Silesian Voivodeship,10004
Lublin Voivodeship,1754
Lubusz Voivodeship,1553
Masovian Voivodeship,9969
Opole Voivodeship,895
Podkarpackie Voivodeship,1604
Podlaskie Voivodeship,1541
Pomeranian Voivodeship,2919
Silesian Voivodeship,4875
Unknown,≤100
Warmian-Masurian Voivodeship,1265
West Pomeranian Voivodeship,2033
Łódź Voivodeship,2677
Świętokrzyskie Voivodeship,1280
