Location name,Amount spent (RON)
Alba County,648
Arad County,822
Argeș County,1189
Bacău County,1222
Bihor County,1075
Bistrița-Năsăud County,534
Botoșani County,619
Brașov County,1465
Brăila County,673
Bucharest,7378
Buzău County,992
Caraș-Severin County,510
Cluj County,2443
Constanța County,1834
Covasna County,347
Călărași County,371
Dolj County,1103
Dâmbovița County,833
Galați County,1228
Giurgiu County,362
Gorj County,788
Harghita County,598
Hunedoara County,917
Ialomița County,436
Iași County,2206
Ilfov County,907
Maramureș County,1073
Mehedinți County,424
Mureș County,1101
Neamț County,1321
Olt County,525
Prahova County,2125
Satu Mare County,573
Sibiu County,1169
Suceava County,1400
Sălaj County,377
Teleorman County,393
Timiș County,1759
Tulcea County,369
Unknown,141
Vaslui County,497
Vrancea County,529
Vâlcea County,704
