Location name,Amount spent (PLN)
Greater Poland Voivodeship,2562
Kuyavian-Pomeranian Voivodeship,1389
Lesser Poland Voivodeship,2436
Lower Silesian Voivodeship,2477
Lublin Voivodeship,1122
Lubusz Voivodeship,667
Masovian Voivodeship,5411
Opole Voivodeship,596
Podkarpackie Voivodeship,1099
Podlaskie Voivodeship,611
Pomeranian Voivodeship,1867
Silesian Voivodeship,3259
Unknown,≤100
Warmian-Masurian Voivodeship,949
West Pomeranian Voivodeship,1464
Łódź Voivodeship,1886
Świętokrzyskie Voivodeship,638
