Location name,Amount spent (NZD)
Auckland Region,3007
Bay of Plenty Region,436
Canterbury,1543
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,221
Manawatu-Wanganui,627
Marlborough Region,109
Nelson Province,159
Northland Region,179
Otago,562
Southland,236
Taranaki,299
Tasman District,≤100
Unknown,≤100
Waikato,1135
Wellington Region,1223
West Coast,≤100
