Location name,Amount spent (SEK)
Blekinge County,4458
Dalarna County,8837
Gotland County,1990
Gävleborg County,8919
Halland County,8829
Jämtland County,4244
Jönköping County,10602
Kalmar County,6803
Kronoberg County,5224
Norrbotten County,7431
Skåne County,40594
Stockholm County,74824
Södermanland County,8586
Unknown,≤100
Uppsala County,12343
Värmland County,8207
Västerbotten County,8346
Västernorrland County,6857
Västmanland County,8111
Västra Götaland County,52075
Örebro County,8876
Östergötland County,12628
