Location name,Amount spent (UYU)
Artigas Department,237
Canelones Department,1044
Cerro Largo Department,231
Colonia Department,361
Durazno Department,145
Flores Department,≤100
Florida Department,155
Lavalleja Department,134
Maldonado Department,401
Montevideo Department,8498
Paysandú Department,277
Rivera Department,425
Rocha Department,178
Río Negro Department,145
Salto Department,446
San José Department,161
Soriano Department,175
Tacuarembó Department,237
Treinta y Tres Department,165
Unknown,≤100
