Location name,Amount spent (PYG)
Alto Paraguay Department,9056
Alto Paraná Department,1421763
Amambay Department,147513
Asunción,1738063
Boquerón department,71377
Caaguazú Department,1123621
Caazapá Department,166222
Canindeyú Department,116931
Central Department,5553192
Concepción Department (Paraguay),149043
Cordillera Department,303852
Guairá Department,215512
Itapúa Department,594886
Misiones Department,143812
Paraguarí Department,164617
Presidente Hayes Department,81682
San Pedro Department,190498
Unknown,1085
Ñeembucú Department,75155
