Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
23383061178,Prabowo Subianto,indonesia Adil makmur,19211441,10
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,19098791,17
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,9640200,128
104830667806476,Melihat Indonesia,Melihat Indonesia,6865323,222
1357693677594211,A Muhaimin Iskandar,Kebangkitan Bangsa,3812393,8
110647840532680,Merge Mayor,These ads ran without a disclaimer,3423636,1
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,2437566,15
102712985995817,Sobat Airlangga Hartarto,Sobat Airlangga Hartarto,1882192,40
197545083607941,Harian Kompas,Harian Kompas,920767,24
104830667806476,Melihat Indonesia,Septian Raharjo,886898,22
1165819730216749,Global Ehsan Relief Indonesia,Global Ehsan Relief Indonesia,678666,4
104317482149268,DPRD Provinsi Jawa Timur,Dinni Anggraeni,650069,15
102262302515901,Henry Indraguna,Ananda Puja Wandra,622007,5
111864151754055,Esensi TV,Esensi Tv,610414,7
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,591547,25
1716437738583378,Banten Dukung Ganjar,Ganjar Nusantara Indonesia,487605,4
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,483160,23
107314345341621,Zakiyuddin Harahap,Zakiyuddin harahap,455264,16
1357693677594211,A Muhaimin Iskandar,Media Center PKB,450797,1
2222018624739038,Jakarta Dukung Ganjar,Ganjar Nusantara Indonesia,448774,4
105818752347206,Teman Airlangga Hartarto,Teman Airlangga Hartarto,432958,8
103974322620939,Kominfo Trenggalek,Anggianto,432938,9
522550394872544,"M Sarmuji, SE., MSi.",Muhammad Sarmuji,427467,1
112121101796090,Opini 2024,Juniar Dwi Harianto,422736,24
111683954970349,News News News,News News News,417746,7
642603442612516,Muktar Efendi Harahap,Muktar efendi harahap,415160,14
106499898747570,Lampung Dukung Ganjar,Ganjar Nusantara Indonesia,400000,3
105984728799517,Sulsel Dukung Ganjar,Ganjar Nusantara Indonesia,399999,3
101552865962561,GP Oku Raya,Ganjar Nusantara Indonesia,389342,2
107611851968705,Sumsel Dukung Ganjar,Ganjar Nusantara Indonesia,386741,3
106681168697547,Rumah kita sulsel,Ganjar Nusantara Indonesia,383539,3
101053572540830,Sahabat Inspirasi,Ganjar Nusantara Indonesia,383180,3
292939164731691,Relawan Herviano,Relawan Herviano,378366,12
101383579268587,Sumut Dukung Ganjar,Ganjar Nusantara Indonesia,375969,3
110952238516382,Kiki Daliyo,Dwi Wantoro,363670,13
104427162506872,Fakta Anies,Fakta Anies,361227,1
