Location name,Amount spent (RON)
Alba County,569
Arad County,740
Argeș County,1206
Bacău County,801
Bihor County,870
Bistrița-Năsăud County,446
Botoșani County,707
Brașov County,943
Brăila County,444
Bucharest,4116
Buzău County,561
Caraș-Severin County,444
Cluj County,1704
Constanța County,1085
Covasna County,288
Călărași County,331
Dolj County,699
Dâmbovița County,652
Galați County,721
Giurgiu County,237
Gorj County,423
Harghita County,465
Hunedoara County,774
Ialomița County,260
Iași County,2454
Ilfov County,615
Maramureș County,696
Mehedinți County,631
Mureș County,924
Neamț County,759
Olt County,414
Prahova County,1435
Satu Mare County,631
Sibiu County,549
Suceava County,971
Sălaj County,323
Teleorman County,378
Timiș County,1266
Tulcea County,356
Unknown,≤100
Vaslui County,449
Vrancea County,471
Vâlcea County,588
