Location name,Amount spent (JPY)
Aichi Prefecture,36333
Akita Prefecture,5508
Aomori Prefecture,5064
Chiba Prefecture,29983
Ehime Prefecture,4782
Fukui Prefecture,3745
Fukuoka Prefecture,46273
Fukushima Prefecture,6343
Gifu Prefecture,12068
Gunma Prefecture,9497
Hiroshima Prefecture,12289
Hokkaido,25127
Hyōgo Prefecture,24631
Ibaraki Prefecture,11117
Ishikawa Prefecture,5179
Iwate Prefecture,4604
Kagawa Prefecture,4811
Kagoshima Prefecture,5204
Kanagawa Prefecture,61953
Kumamoto Prefecture,9284
Kyoto Prefecture,14763
Kōchi Prefecture,2292
Mie Prefecture,7443
Miyagi Prefecture,14396
Miyazaki Prefecture,4337
Nagano Prefecture,9559
Nagasaki Prefecture,7295
Nara Prefecture,6066
Niigata Prefecture,8412
Okayama Prefecture,14488
Okinawa Prefecture,10041
Osaka Prefecture,45833
Saga Prefecture,5200
Saitama Prefecture,37444
Shiga Prefecture,6782
Shimane Prefecture,4472
Shizuoka Prefecture,15187
Tochigi Prefecture,6412
Tokushima Prefecture,2923
Tokyo,100409
Tottori Prefecture,1715
Toyama Prefecture,4262
Unknown,≤100
Wakayama Prefecture,4161
Yamagata Prefecture,4718
Yamaguchi Prefecture,5143
Yamanashi Prefecture,4000
Ōita Prefecture,7868
