Location name,Amount spent (PLN)
Greater Poland Voivodeship,3662
Kuyavian-Pomeranian Voivodeship,2160
Lesser Poland Voivodeship,3902
Lower Silesian Voivodeship,3060
Lublin Voivodeship,1718
Lubusz Voivodeship,747
Masovian Voivodeship,7381
Opole Voivodeship,765
Podkarpackie Voivodeship,1382
Podlaskie Voivodeship,813
Pomeranian Voivodeship,2179
Silesian Voivodeship,3293
Unknown,≤100
Warmian-Masurian Voivodeship,978
West Pomeranian Voivodeship,1609
Łódź Voivodeship,2214
Świętokrzyskie Voivodeship,723
