Location name,Amount spent (PLN)
Greater Poland Voivodeship,5704
Kuyavian-Pomeranian Voivodeship,3172
Lesser Poland Voivodeship,5418
Lower Silesian Voivodeship,4572
Lublin Voivodeship,2406
Lubusz Voivodeship,1585
Masovian Voivodeship,11123
Opole Voivodeship,1161
Podkarpackie Voivodeship,2362
Podlaskie Voivodeship,1395
Pomeranian Voivodeship,3748
Silesian Voivodeship,6333
Unknown,≤100
Warmian-Masurian Voivodeship,1795
West Pomeranian Voivodeship,2711
Łódź Voivodeship,3438
Świętokrzyskie Voivodeship,1402
