Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
441539862613489,Foreldrasamtök gegn áfengisauglýsingum,Árni Guðmundsson,13513,2
430089884101936,Þingflokkur Pírata,Þingflokkur Pírata,2847,1
108295544832396,Jóhann Páll Jóhannsson,Jóhann Páll Jóhannsson,1856,2
314036327204,VR,VR,1653,4
154893001218870,ADHD samtökin,ADHD samtökin,1652,3
137524753533383,Miðflokkurinn,Fjóla Björnsdóttir,1396,1
891307104382857,Alexandra Briem,Alexandra Briem,856,1
148872571795434,Viðskiptaráð Íslands,Viðskiptaráð Íslands,817,1
157073914303469,Stjórnarskrárfélagið -The Icelandic Constitution Society,Stjórnarskrárfélagið,693,1
110388085667093,Sjálfstæðisflokkurinn í Fjarðabyggð,Ragnar Sigurðsson,489,1
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,479,1
1438606279746434,Heiða Björg Hilmisdóttir,Heiða Hilmisdóttir,263,1
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,≤100,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,1
100466846248633,AI Mage,These ads ran without a disclaimer,≤100,3
105648402241230,Join the dots,These ads ran without a disclaimer,≤100,1
