Location name,Amount spent (EGP)
Al Sharqia Governorate,1866
Alexandria Governorate,1252
Aswan Governorate,168
Asyut Governorate,343
Beheira Governorate,678
Beni Suef Governorate,410
Cairo Governorate,4514
Dakahlia Governorate,2070
Damietta Governorate,245
Faiyum Governorate,336
Gharbia Governorate,1331
Giza Governorate,1376
Ismailia Governorate,797
Kafr el-Sheikh Governorate,612
Luxor Governorate,136
Matrouh Governorate,≤100
Minya Governorate,383
Monufia Governorate,1180
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,315
Qalyubia Governorate,1161
Qena Governorate,270
Red Sea Governorate,≤100
Sohag Governorate,379
South Sinai Governorate,≤100
Suez Governorate,101
Unknown,≤100
