Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
111523625527552,התנועה לאיכות השלטון,התנועה לאיכות השלטון,5865,10
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,5738,26
849824028408565,תנועת אם תרצו,תנועת אם תרצו,2500,42
249479152534875,Kfir Swisa - כפיר סויסה,Kfir Swisa - כפיר סויסה,2425,8
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,1916,16
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,1852,9
500238833397356,ציפי ברנד,ציפי ברנד,1578,31
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",1423,22
115456451553737,יונה יהב,יונה יהב,1269,8
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",1189,29
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,1172,2
1073548259341247,לובי 99,לובי 99,1141,11
810904589094226,צביקה ברוט - Tzvika Brot,צביקה ברוט - Tzvika Brot,1104,2
112848572066805,מחאת ההייטק,מחאת ההייטק,1064,10
109523830757998,דמוקרטtv,דרכנו,1039,2
109049212192912,יעקב בורובסקי-לראשות העיר חיפה,יעקב בורובסקי-לראשות העיר חיפה,977,5
146122195591636,שלומי לחיאני - בת ים בראש מורם,שלומי לחיאני - בת ים בראש מורם,974,35
103563939372367,ברק סרי - Barak Seri,ברק סרי - Barak Seri,971,3
204780362875106,מקור ראשון,מקור ראשון,813,50
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,785,13
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,768,36
114429471587565,"יפעת עובדיה לוסקי - יו""ר קק""ל",קרן קימת לישראל,766,2
1662907067255622,איגוד הגז הטבעי,Unik,752,4
138399090105076,הבנק החברתי למזון תינוקות,הבנק החברתי למזון תינוקות,720,7
103085619445870,ניר ברכיה משרד עורכי דין,ניר ברכיה משרד עורכי דין,701,2
137449656335533,Amnesty International Israel,Amnesty International Israel,678,10
1954699454767994,שי זולדן - Shay Zoldan,שי זולדן,676,10
662721113760589,TheMarker Labels,TheMarker Labels,638,4
117177111377152,Шломи Лахьяни,שלומי לחיאני,608,1
103907495935157,צו חירום,צו חירום,602,2
108787681841168,רישיון נשק בקליק,רישיון נשק בקליק,594,2
107058789108097,יאיר מעיין - Yair Maayan,יאיר מעיין,587,11
106057988971053,אלי כהן - Eli Cohen,אלי כהן - Eli Cohen,581,10
117658294683078,ישראלTop5,top5israel,564,3
114201461733889,"מיכאל וידל- ראש עיריית רמלה, העמוד הפוליטי",ראש העיר מיכאל וידל,559,3
119995701391029,בית בן-גוריון בתל אביב,בית בן גוריון,550,3
