Location name,Amount spent (HUF)
Baranya County,80940
Borsod-Abaúj-Zemplén County,113185
Budapest,551302
Bács-Kiskun County,92432
Békés County,68538
Csongrád County,119324
Fejér County,92290
Győr-Moson-Sopron County,93103
Hajdú-Bihar County,103302
Heves County,62263
Jász-Nagykun-Szolnok County,72154
Komárom-Esztergom County,79216
Nógrád County,37837
Pest County,245090
Somogy County,57758
Szabolcs-Szatmár-Bereg County,99675
Tolna County,42966
Unknown,≤100
Vas County,60226
Veszprém County,65078
Zala County,69315
