Location name,Amount spent (GTQ)
Alta Verapaz Department,455
Baja Verapaz Department,≤100
Chimaltenango Department,261
Chiquimula Department,160
El Progreso Department,103
Escuintla Department,423
Guatemala Department,4496
Huehuetenango Department,391
Izabal Department,249
Jalapa Department,149
Jutiapa Department,201
Petén Department,166
Quetzaltenango Department,634
Quiché Department,240
Retalhuleu Department,222
Sacatepéquez Department,299
San Marcos Department,955
Santa Rosa Department,126
Sololá Department,183
Suchitepéquez Department,353
Totonicapán Department,119
Unknown,≤100
Zacapa Department,153
