Location name,Amount spent (IDR)
Aceh,848145
Bali,2349320
Bangka–Belitung Islands,468034
Banten,2459317
Bengkulu,817080
Central Java,12795215
Central Kalimantan,718652
Central Sulawesi,1647018
East Java,13905605
East Kalimantan,1544441
East Nusa Tenggara,1501603
Gorontalo,1246309
Jakarta,8610961
Jambi,980660
Lampung,2550670
Maluku,635484
North Kalimantan,476110
North Maluku,535594
North Sulawesi,1530132
North Sumatra,4916881
Papua (province),816438
Riau,1949605
Riau Islands Province,940330
South Kalimantan,1690275
South Sulawesi,3290436
South Sumatra,2949285
Southeast Sulawesi,1434526
Special Region of Yogyakarta,1490912
Unknown,19010
West Java,16371637
West Kalimantan,1325351
West Nusa Tenggara,1530308
West Papua,450853
West Sulawesi,514377
West Sumatra,1307985
